Molecule,SMILES_E1,SMILES_X1,SMILES_Y1,Ratio_X1,Ratio_Y1,Condition_Type,Condition_Val,Time_min,Temp_K,Alpha,Rate_1_min
C8,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCCCC(=O)O,OC(=O)CCCCCCC(=O)O,1.0,0.0,Iso,160.0,48.0,433.18,0.8188197088945259,0.0064939172439237
C10,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCCCCCC(=O)O,OC(=O)CCCCCCCCC(=O)O,1.0,0.0,Iso,180.0,52.63164,453.17,0.9841162261499414,0.0017954027954015
C10,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCCCCCC(=O)O,OC(=O)CCCCCCCCC(=O)O,1.0,0.0,Dyn,10.0,9.29,531.3199999999999,0.8761672442478823,0.0566555091676359
C10,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCCCCCC(=O)O,OC(=O)CCCCCCCCC(=O)O,1.0,0.0,Iso,180.0,50.19499,453.17,0.979270329043144,0.0022097265174171
C14,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCCCCCCCCCC(=O)O,OC(=O)CCCCCCCCCCCCC(=O)O,1.0,0.0,Iso,170.0,29.31760000000002,443.1782507784431,0.9423186114235508,0.0072589679402143
C10,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCCCCCC(=O)O,OC(=O)CCCCCCCCC(=O)O,1.0,0.0,Dyn,5.0,12.79,499.5,0.763199746663951,0.0399029814869318
C14,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCCCCCCCCCC(=O)O,OC(=O)CCCCCCCCCCCCC(=O)O,1.0,0.0,Dyn,5.0,13.395608149891125,502.4512838707987,0.9754843267516,0.0199797833037097
C10,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCCCCCC(=O)O,OC(=O)CCCCCCCCC(=O)O,1.0,0.0,Iso,165.0,20.549999999999997,438.17,0.6623941019009578,0.0150553947473115
C12,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCCCCCCCC(=O)O,OC(=O)CCCCCCCCCCC(=O)O,1.0,0.0,Dyn,2.5,43.5298607741066,542.7991612897988,0.9378823692992212,0.0055210000761805
C14,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCCCCCCCCCC(=O)O,OC(=O)CCCCCCCCCCCCC(=O)O,1.0,0.0,Iso,180.0,14.118239999999997,453.180969760479,0.9007715557040372,0.0235409638340791
C6,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCC(=O)O,OC(=O)CCCCC(=O)O,1.0,0.0,Dyn,10.0,4.69,485.41,0.7232785849652558,0.1506632975363236
C8,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCCCC(=O)O,OC(=O)CCCCCCC(=O)O,1.0,0.0,Dyn,2.5,23.61,493.15,0.9842672683966404,0.0053278174752413
C12,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCCCCCCCC(=O)O,OC(=O)CCCCCCCCCCC(=O)O,1.0,0.0,Dyn,10.0,8.483351371181442,521.2916451605504,0.933132348599361,0.0447827352678315
C6,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCC(=O)O,OC(=O)CCCCC(=O)O,1.0,0.0,Dyn,2.5,29.79,508.8600000000005,0.8369732953207977,0.0084121471404666
C8,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCCCC(=O)O,OC(=O)CCCCCCC(=O)O,1.0,0.0,Dyn,5.0,2.7100000000000004,448.9500000000003,0.1385146579174075,0.0610444108927042
C10,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCCCCCC(=O)O,OC(=O)CCCCCCCCC(=O)O,1.0,0.0,Dyn,10.0,4.289999999999999,481.32,0.3709901271617067,0.1326653848211072
