Sample_ID,Ratio_X1,Ratio_Y1,SMILES_E1,SMILES_X1,SMILES_Y1,Condition_Type,Condition_Val,Time_min,Temp_K,Alpha,Rate_1_min
E1_X50_Y50,0.5,0.5,C1C(O1)CN(CC2CO2)C3=CC=C(C=C3)OCC4CO4,C1=CC(=CC(=C1)S(=O)(=O)C2=CC=CC(=C2)N)N,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,Dyn,1.0,50.55799240156799,434.48923191431896,0.665331921394348,0.0213923659812255
E1_X50_Y50,0.5,0.5,C1C(O1)CN(CC2CO2)C3=CC=C(C=C3)OCC4CO4,C1=CC(=CC(=C1)S(=O)(=O)C2=CC=CC(=C2)N)N,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,Iso,160.0,22.16179526715814,433.271021250382,0.667698941581733,0.0170403230485541
E1_X40_Y60,0.4,0.6,C1C(O1)CN(CC2CO2)C3=CC=C(C=C3)OCC4CO4,C1=CC(=CC(=C1)S(=O)(=O)C2=CC=CC(=C2)N)N,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,Dyn,1.0,84.97813445993702,469.45470260075695,0.915785159838241,0.00192950780835398
E1_X100_Y0,1.0,0.0,C1C(O1)CN(CC2CO2)C3=CC=C(C=C3)OCC4CO4,C1=CC(=CC(=C1)S(=O)(=O)C2=CC=CC(=C2)N)N,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,Iso,160.0,23.075246783048513,433.266495792205,0.738557564058795,0.0117354955671724
E1_X100_Y0,1.0,0.0,C1C(O1)CN(CC2CO2)C3=CC=C(C=C3)OCC4CO4,C1=CC(=CC(=C1)S(=O)(=O)C2=CC=CC(=C2)N)N,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,Iso,160.0,50.76554292270701,433.254219320573,0.837181742225953,0.000130288775690378
E1_X0_Y100,0.0,1.0,C1C(O1)CN(CC2CO2)C3=CC=C(C=C3)OCC4CO4,C1=CC(=CC(=C1)S(=O)(=O)C2=CC=CC(=C2)N)N,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,Iso,160.0,55.410520000000815,433.255978101629,0.804922424312236,0.00302282915673158
E1_X90_Y10,0.9,0.1,C1C(O1)CN(CC2CO2)C3=CC=C(C=C3)OCC4CO4,C1=CC(=CC(=C1)S(=O)(=O)C2=CC=CC(=C2)N)N,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,Iso,180.0,38.14669837747884,453.21600002284,0.891766070394032,0.000541272474931521
E1_X50_Y50,0.5,0.5,C1C(O1)CN(CC2CO2)C3=CC=C(C=C3)OCC4CO4,C1=CC(=CC(=C1)S(=O)(=O)C2=CC=CC(=C2)N)N,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,Iso,180.0,22.609248351409917,453.244370741048,0.880227650181396,0.00252662775329136
E1_X100_Y0,1.0,0.0,C1C(O1)CN(CC2CO2)C3=CC=C(C=C3)OCC4CO4,C1=CC(=CC(=C1)S(=O)(=O)C2=CC=CC(=C2)N)N,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,Dyn,1.0,92.955839976803,465.552908524648,0.953224607341421,0.00168436838320032
E1_X20_Y80,0.2,0.8,C1C(O1)CN(CC2CO2)C3=CC=C(C=C3)OCC4CO4,C1=CC(=CC(=C1)S(=O)(=O)C2=CC=CC(=C2)N)N,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,Iso,180.0,29.16979793463082,453.21527235655196,0.876360508863158,0.00152771006142325
E1_X90_Y10,0.9,0.1,C1C(O1)CN(CC2CO2)C3=CC=C(C=C3)OCC4CO4,C1=CC(=CC(=C1)S(=O)(=O)C2=CC=CC(=C2)N)N,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,Iso,160.0,31.33319894403723,433.238999981044,0.766084460782732,0.00609935332957132
E1_X90_Y10,0.9,0.1,C1C(O1)CN(CC2CO2)C3=CC=C(C=C3)OCC4CO4,C1=CC(=CC(=C1)S(=O)(=O)C2=CC=CC(=C2)N)N,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,Iso,180.0,36.73385769683144,453.21612105211295,0.890982693271378,0.000577135410630816
E1_X20_Y80,0.2,0.8,C1C(O1)CN(CC2CO2)C3=CC=C(C=C3)OCC4CO4,C1=CC(=CC(=C1)S(=O)(=O)C2=CC=CC(=C2)N)N,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,Iso,180.0,27.71130803789932,453.21642173586395,0.873831392621976,0.00197762393047847
E1_X40_Y60,0.4,0.6,C1C(O1)CN(CC2CO2)C3=CC=C(C=C3)OCC4CO4,C1=CC(=CC(=C1)S(=O)(=O)C2=CC=CC(=C2)N)N,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,Iso,180.0,13.441049457367331,453.23590879773496,0.745634126322497,0.0228182928877234
E1_X20_Y80,0.2,0.8,C1C(O1)CN(CC2CO2)C3=CC=C(C=C3)OCC4CO4,C1=CC(=CC(=C1)S(=O)(=O)C2=CC=CC(=C2)N)N,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,Iso,180.0,35.00375752155702,453.21559434094695,0.882133122902294,0.000585157743017101
E1_X20_Y80,0.2,0.8,C1C(O1)CN(CC2CO2)C3=CC=C(C=C3)OCC4CO4,C1=CC(=CC(=C1)S(=O)(=O)C2=CC=CC(=C2)N)N,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,Dyn,1.0,18.643548697335007,407.35783509900097,0.0898124706735018,0.00663834012237654
E1_X90_Y10,0.9,0.1,C1C(O1)CN(CC2CO2)C3=CC=C(C=C3)OCC4CO4,C1=CC(=CC(=C1)S(=O)(=O)C2=CC=CC(=C2)N)N,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,Dyn,1.0,71.912320469099,455.77772703694995,0.906973873255923,0.0039893940456687
E1_X100_Y0,1.0,0.0,C1C(O1)CN(CC2CO2)C3=CC=C(C=C3)OCC4CO4,C1=CC(=CC(=C1)S(=O)(=O)C2=CC=CC(=C2)N)N,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,Iso,160.0,24.61359656858511,433.26467520924996,0.755321931056568,0.0101407731329574
E1_X70_Y30,0.7,0.3,C1C(O1)CN(CC2CO2)C3=CC=C(C=C3)OCC4CO4,C1=CC(=CC(=C1)S(=O)(=O)C2=CC=CC(=C2)N)N,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,Iso,160.0,29.192470762743607,433.238000052224,0.742048760236467,0.00853356558456786
E1_X40_Y60,0.4,0.6,C1C(O1)CN(CC2CO2)C3=CC=C(C=C3)OCC4CO4,C1=CC(=CC(=C1)S(=O)(=O)C2=CC=CC(=C2)N)N,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,Iso,180.0,14.93449939707483,453.231932849028,0.776315389529436,0.0185746464144932
E1_X90_Y10,0.9,0.1,C1C(O1)CN(CC2CO2)C3=CC=C(C=C3)OCC4CO4,C1=CC(=CC(=C1)S(=O)(=O)C2=CC=CC(=C2)N)N,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,Iso,180.0,25.431132251652038,453.21733683356,0.877830062515973,0.00218713416580746
E1_X20_Y80,0.2,0.8,C1C(O1)CN(CC2CO2)C3=CC=C(C=C3)OCC4CO4,C1=CC(=CC(=C1)S(=O)(=O)C2=CC=CC(=C2)N)N,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,Dyn,1.0,4.660887174334022,393.37787291022,0.0300347194606717,0.00259605488132013
E1_X90_Y10,0.9,0.1,C1C(O1)CN(CC2CO2)C3=CC=C(C=C3)OCC4CO4,C1=CC(=CC(=C1)S(=O)(=O)C2=CC=CC(=C2)N)N,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,Iso,180.0,7.064203403236839,453.26582562262297,0.594762931155301,0.0487446966436024
E1_X50_Y50,0.5,0.5,C1C(O1)CN(CC2CO2)C3=CC=C(C=C3)OCC4CO4,C1=CC(=CC(=C1)S(=O)(=O)C2=CC=CC(=C2)N)N,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,Dyn,1.0,105.32915083660001,489.20970433537195,0.968263805787891,0.00188056236335348
E1_X0_Y100,0.0,1.0,C1C(O1)CN(CC2CO2)C3=CC=C(C=C3)OCC4CO4,C1=CC(=CC(=C1)S(=O)(=O)C2=CC=CC(=C2)N)N,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,Iso,160.0,30.223920000000206,433.266865911668,0.625009249567891,0.0132394149617169
E1_X0_Y100,0.0,1.0,C1C(O1)CN(CC2CO2)C3=CC=C(C=C3)OCC4CO4,C1=CC(=CC(=C1)S(=O)(=O)C2=CC=CC(=C2)N)N,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,Iso,180.0,37.0391944453951,453.24131266824395,0.88452186842718,0.00101774819470235
E1_X90_Y10,0.9,0.1,C1C(O1)CN(CC2CO2)C3=CC=C(C=C3)OCC4CO4,C1=CC(=CC(=C1)S(=O)(=O)C2=CC=CC(=C2)N)N,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,Iso,180.0,19.77976952906274,453.220704584023,0.856927493407537,0.00612191190777392
